trap,location,region,lat,lon
cn1,BLZ,Caribbean,17.27094038,-87.813191
cn2,BLZ,Caribbean,17.27094038,-87.813191
cn3,BLZ,Caribbean,17.27094038,-87.813191
cn4,BLZ,Caribbean,17.27094038,-87.813191
grotto,TCI,Caribbean,21.480649,-71.534742
hdl,TCI,Caribbean,21.482169,-71.526114
ltCalab,BLZ,Caribbean,17.27094038,-87.813191
plane,TCI,Caribbean,21.47841,-71.541637
reef,BLZ,Caribbean,17.27094038,-87.813191
ac,LI,GBR,-14.66893753,145.4400426
bott1,LI,GBR,-14.66893753,145.4400426
bott2,LI,GBR,-14.66893753,145.4400426
bottom,LI,GBR,-14.66893753,145.4400426
jeff,LI,GBR,-14.66893753,145.4400426
JML03,LI,GBR,-14.66893753,145.4400426
liv,LI,GBR,-14.66893753,145.4400426
mark,LI,GBR,-14.66893753,145.4400426
mid1,LI,GBR,-14.66893753,145.4400426
middle,LI,GBR,-14.66893753,145.4400426
reared,JCU,GBR,-14.66893753,145.4400426
sunb,LI,GBR,-14.66893753,145.4400426
top,LI,GBR,-14.66893753,145.4400426
top1,LI,GBR,-14.66893753,145.4400426
top2,LI,GBR,-14.66893753,145.4400426
Stobutzki,GI/MI,GBR,-16.75788,145.97
Leis_lizard,LI,GBR,-14.66893753,145.4400426
Leis_moorea,SI,MOR,-17.5,-149.83
